# Temperature [sim units], final average spin, convergence
1.000000000000000000e+00,9.993069792000002227e-01,1.000000000000000000e+00
1.300000000000000044e+00,9.948416416000002149e-01,1.000000000000000000e+00
1.600000000000000089e+00,9.774757248000001120e-01,1.000000000000000000e+00
1.900000000000000133e+00,9.401379488000000118e-01,1.000000000000000000e+00
2.200000000000000178e+00,7.720729792000000646e-01,1.000000000000000000e+00
2.500000000000000000e+00,4.424059200000000219e-02,1.000000000000000000e+00
2.800000000000000266e+00,-7.687702080000000104e-02,1.000000000000000000e+00
3.100000000000000533e+00,3.143261120000000186e-02,1.000000000000000000e+00
3.400000000000000355e+00,-1.994571839999999957e-02,1.000000000000000000e+00
3.700000000000000178e+00,1.408639999999999632e-03,1.000000000000000000e+00
4.000000000000000000e+00,1.022202879999999613e-02,1.000000000000000000e+00
